,_mu,zimu,_she,_yun,_deng,_hu,_overlap,_vari,bax,poly,yugan,star,hxs,unt,untF,msoeg
1,1,东一,通,东,一,,d,東董送屋,uwng,ung,ūŋ,uŋ,uŋ,uŋʷ,uŋ,ouŋ
,1,东三,通,东,三,,d,,juwng,yung,ǖūŋ,üŋ,ɨuŋ,ẅuŋʷ,i̯uŋ,uŋ
,2,冬,通,冬,一,,,湩*宋沃,owng,uung,ōŋ,oŋ,uoŋ,oŋʷ,oŋ,ɔŋ
,3,钟,通,钟,三,,,鍾锺肿腫用烛燭,jowng,iung,iōŋ,öuŋ,uɨoŋ,ẅo̞ŋʷ,i̯ɔŋ,uɔŋ
1,4,江,江,江,二,,,讲講绛絳觉覺,aewng,rung,ïōŋ,ạuŋ,œŋ,ɻæŋʷ,ɨ̯ɒŋ,ʴɜuŋ
1,5,支A开,止,支,三A,开,ch,纸紙寘,jie,ie,iē,je,iɛ,jɛ,i̯ɛ,ie
,5,支A合,止,支,三A,合,ch,,jwie,ye,üē,jwe,uiɛ,ɥɛ,u̯i̯ɛ,ʷie
,5,支B开,止,支,三B,开,ch,,je,ie,ïiē,e,ɨɛ,ɻjɛ,ɨ̯i̯ɛ,ɯe
,5,支B合,止,支,三B,合,ch,,jwe,ye,ïüē,we,uɨɛ,ɻɥɛ,u̯ɨ̯i̯ɛ,ue
,6,脂A开,止,脂,三A,开,ch,旨至,jij,ii,ī,ji,i,i,i,i
,6,脂A合,止,脂,三A,合,ch,,jwij,yi,üī,jwi,ui,ɥi,u̯i,ʷi
,6,脂B开,止,脂,三B,开,ch,,ij,ii,ïī,i,ɨi,ɻi,ɨ̯i,ʴi
,6,脂B合,止,脂,三B,合,ch,,wij,yi,ïüī,wi,uɨi,ɻɥi,u̯ɨ̯i,ʴʷi
,7,之,止,之,三,,,止志,ij,i,ï̄,ɨ,ɨ,ɨ,ɨ,ɯ
,8,微开,止,微,三,开,h,尾未,j+j,ioi,ï̄i,ɨj,ɨəi,ɨj,ɨi̯,ɯi
,8,微合,止,微,三,合,h,,jw+j,yoi,uï̄i,wɨj,uɨəi,ẅɨj,u̯ɨi̯,ui
1,9,鱼,遇,鱼,三,,,魚语語御,jo,io,ië̄,ö,ɨo,j̈ə,i̯ə,ɯɤ
,10,虞,遇,虞,三,,,麌遇,ju,yo,iō,o,uɨo,ẅo͡ɔ,i̯ɔ,uo
,11,模,遇,模,一,,,姥暮,u,o,ō,ü,uo,u͡o,o,o
1,12,齐开,蟹,齐,四,,,齊荠薺霁霽,ej,e,ēi,iej,ɛi,ej,ei̯,ɛi
,12,齐合,蟹,齐,四,,,,wej,ue,uēi,wiej,,wej,u̯ei̯,ʷɛi
,,祭A开,蟹,祭,三A,开,ch,,jiej,ied,ièś,jej,iɛi,jɛjɕ,i̯ɛɕ,iɛi
,,祭A合,蟹,祭,三A,合,ch,,jwiej,yed,üèś,jwej,uiɛi,ɥɛjɕ,u̯i̯ɛɕ,ʴʷiɛi
,,祭B开,蟹,祭,三B,开,ch,,jej,ied,ïièś,ej,ɨɛi,ɻjɛjɕ,ɨ̯i̯ɛɕ,iɛi
,,祭B合,蟹,祭,三B,合,ch,,jwej,yed,ïüèś,wej,uɨɛi,ɻɥɛjɕ,u̯ɨ̯i̯ɛɕ,ʴʷiɛi
,,泰开,蟹,泰,一,开,h,,aj,ad,àś,âj,ɒi,ɑjɕ,ɑɕ,ɑi
,,泰合,蟹,泰,一,合,h,,waj,uad,uàś,wâj,,wɑjɕ,u̯ɑɕ,ʷɑi
,13,佳开,蟹,佳,二,开,h,蟹卦,ea,re,ïē,ạ̈,ɐ,ɻæ,ɨ̯æ,ʴɜ
,13,佳合,蟹,佳,二,合,h,,wea,rue,uïē,wạ̈,uɐ,wɻæ,u̯ɨ̯æ,ʴʷɜ
,14,皆开,蟹,皆,二,开,h,骇駭怪,eaj,rai,ïēi,ạ̈j,ɐi,ɻæj,ɨ̯æi̯,ʴɛi
,14,皆合,蟹,皆,二,合,h,,weaj,ruai,uïēi,wạ̈j,uɐi,wɻæj,u̯ɨ̯æi̯,ʴʷɛi
,,夬开,蟹,夬,二,开,h,,aej,rad,ïàś,ạj,ai,ɻajɕ,ɨ̯aɕ,ʴai
,,夬合,蟹,夬,二,合,h,,waej,ruad,uïàś,wạj,uai,wɻajɕ,u̯ɨ̯aɕ,ʴʷai
,16,咍,蟹,咍,一,,,海代,oj,ai,ë̄i,ʌj,əi,ɐj,ɐi̯,ʌi
,15,灰,蟹,灰,一,,,贿賄隊队,woj,uai,uōi,oj,uəi,wɔ̞j,u̯ɒi̯,ʷɔi
,,废开,蟹,废,三,开,h,废廢,joj,iad,iềś,əj,ɨɐi,j̈əjɕ,i̯əɕ,ɯʌi
,,废合,蟹,废,三,合,h,,jwoj,yad,üềś,wəj,uɨɐi,ẅəjɕ,u̯i̯əɕ,uɔi
1,17,真A,臻,真,三A,,c,眞轸軫震质質,jin,in,īn,jin,in,in,in,in
,17,真B开,臻,真,三B,开,ch,,in,in,ïīn,in,ɨin,ɻin,ɨ̯in,ʴin
,17,真B合,臻,真,三B,合,ch,,win,yn,ïüīn,win,uɨin,ɻɥin,u̯ɨ̯in,ʴʷin
,18,谆,臻,谆,三,,,諄准準稕术術[真眞],jwin,yn,üīn,win,uin,ɥin,u̯in,ʷin
,19,臻,臻,臻,三,,,𧤛*榇*櫬栉櫛[真眞],in,in,īn,in,ɨn,ɻɪn,in,in
,21,欣,臻,欣,三,,,隐隱焮迄殷,j+n,ion,ï̄n,ɨn,ɨən,ɨn,ɨn,ɯn
,20,文,臻,文,三,,,吻问問物,jun,yon,üūn,ün,uɨən,ẅun,i̯un,un
,22,元开,臻,元,三,开,h,阮愿願月,jon,ian,ië̄n,ən,ɨɐn,j̈ən,i̯ən,ɯʌn
,22,元合,臻,元,三,合,h,,jwon,yan,üë̄n,wən,uɨɐn,ẅən,u̯i̯ən,uɔn
,24,痕,臻,痕,一,,,很恨麧*,on,on,ë̄n,ʌn,ən,ɘn,ɘn,ʌn
,23,魂,臻,魂,一,,,混慁没沒,won,uon,uë̄n,on,uən,won,u̯on,ʷɔn
1,25,寒,山,寒,一,,,旱翰曷,an,an,ān,ân,ɒn,ɑn,ɑn,ɑn
,26,桓,山,桓,一,,,缓緩换換末[寒],wan,uan,uān,wân,uɒn,wɑn,u̯ɑn,ʷɑn
,27,删开,山,删,二,开,h,刪潸谏諫黠,aen,ran,ïān,ạn,an,ɻan,ɨ̯an,ʴan
,27,删合,山,删,二,合,h,,waen,ruan,uïān,wạn,uan,wɻan,u̯ɨ̯an,ʴʷan
,28,山开,山,山,二,开,h,产產襇裥辖鎋,ean,ren,ïēn,ạ̈m,ɐn,ɻæn,ɨ̯æn,ʴɜn
,28,山合,山,山,二,合,h,,wean,ruen,uïēn,wạ̈m,uɐn,wɻæn,u̯ɨ̯æn,ʴʷɜn
,1,先开,山,先,四,开,h,铣銑霰屑,en,en,ēn,ien,ɛn,en,en,ɛn
,1,先合,山,先,四,合,h,,wen,uen,uēn,wien,uɛn,wen,u̯en,ʷɛn
,2,仙A开,山,仙,三A,开,ch,狝獮线線薛,jien,ien,iēn,jen,iɛn,jɛn,i̯ɛn,iɛn
,2,仙A合,山,仙,三A,合,ch,,jwien,yen,üēn,jwen,uiɛn,ɥɛn,u̯i̯ɛn,ʷiɛn
,2,仙B开,山,仙,三B,开,ch,,jen,ien,ïiēn,en,ɨɛn,ɻjɛn,ɨ̯i̯ɛn,ʴiɛn
,2,仙B合,山,仙,三B,合,ch,,jwen,yen,ïüēn,wen,uɨɛn,ɻɥɛn,u̯ɨ̯i̯ɛn,ʴʷiɛn
1,3,萧,效,萧,四,,,蕭筱篠嘯啸,ew,eu,ēu,iew,ɛu,ew,eu̯,ɛu
,4,宵A,效,宵,三A,,c,小笑霄,jiew,ieu,iēu,jew,iɛu,jɛw,i̯ɛu̯,iæu
,4,宵B,效,宵,三B,,c,,jew,ieu,ïiēu,ew,ɨɛu,ɻjɛw,ɨ̯i̯ɛu̯,ɯæu
,5,肴,效,肴,二,,,巧效,aew,rau,ïāu,ạw,au,ɻaw,ɨ̯au̯,ʴau
,6,豪,效,豪,一,,,晧号,aw,au,āu,âw,ɒu,ɑw,ɑu̯,ɑu
1,7,歌,果,歌,一,,,哿箇个個,a,a,ā,â,ɒ,ɑ,ɑ,ɑ
,8,戈一合,果,戈,一,合,d,果过過[歌],wa,ua,uā,wâ,uɒ,wɑ,u̯ɑ,ʷɑ
,8,戈三开,果,戈,三,开,dh,,ja,ia,iā,a,ɨɒ,j̈ɑ,i̯ɑ,ɯɑ
,8,戈三合,果,戈,三,合,dh,,jwa,ya,üā,wa,uɨɒ,ẅɑ,u̯i̯ɑ,uɑ
1,9,麻二开,假,麻,二,开,dh,马馬禡,ae,ra,ïā,ạ,a,ɻa,ɨ̯a,ʴa
,9,麻二合,假,麻,二,合,dh,,wae,rua,uïā,wạ,ua,wɻa,u̯ɨ̯a,ʴʷa
,9,麻三开,假,麻,三,开,d,,jae,ia,iā,ja,ɨa,ja,i̯a,iæ
1,10,阳开,宕,阳,三,开,h,陽养養漾药藥,jang,iang,ië̄ŋ,aŋ,ɨɒŋ,j̈ɐŋ,i̯ɐŋ,ɯɑɔŋ
,10,阳合,宕,阳,三,合,h,,jwang,yang,üë̄ŋ,waŋ,uɨɒŋ,ẅɐŋ,u̯i̯ɐŋ,uɑɔŋ
,11,唐开,宕,唐,一,开,h,荡蕩宕铎鐸,ang,ang,āŋ,âŋ,ɒŋ,ɑŋ,ɑŋ,ɑɔŋ
,11,唐合,宕,唐,一,合,h,,wang,uang,uāŋ,wâŋ,uɒŋ,wɑŋ,u̯ɑŋ,ʷɑɔŋ
1,12,庚二开,梗,庚,二,开,dh,梗映陌,aeng,rang,ïāŋ,ạ̈iŋ,aŋ,ɻaɲ,ɨ̯aŋ,ʴaɯŋ
,12,庚二合,梗,庚,二,合,dh,,waeng,ruang,uïāŋ,wạ̈iŋ,uaŋ,wɻaɲ,u̯ɨ̯aŋ,ʴʷaɯŋ
,12,庚三开,梗,庚,三,开,dh,,jaeng,ieng,ïiāŋ,äiŋ,ɨaŋ,ɻjaɲ,ɨ̯i̯aŋ,ʴiæɯŋ
,12,庚三合,梗,庚,三,合,dh,,jwaeng,yeng,ïüāŋ,wäiŋ,uɨaŋ,ɻɥaɲ,u̯ɨ̯i̯aŋ,ʴʷiæɯŋ
,13,耕开,梗,耕,二,开,h,耿诤諍麦麥,eang,reng,ïēŋ,ạiŋ,ɐŋ,ɻæɲ,ɨ̯æŋ,ʴɜɯŋ
,13,耕合,梗,耕,二,合,h,,weang,rueng,uïēŋ,wạiŋ,uɐŋ,wɻæɲ,u̯ɨ̯æŋ,ʴʷɜɯŋ
,14,清开,梗,清,三,开,h,静靜劲勁昔,jieng,ieng,iēŋ,jeŋ,iɛŋ,jɛɲ,i̯ɛŋ,iæɯŋ
,14,清合,梗,清,三,合,h,,jwieng,yeng,üēŋ,jweŋ,uiɛŋ,ɥɛɲ,u̯i̯ɛŋ,ʷiæɯŋ
,15,青开,梗,青,四,开,h,迥径徑锡錫,eng,eng,ēŋ,ieŋ,ɛŋ,eɲ,eŋ,ɛɯŋ
,15,青合,梗,青,四,合,h,,weng,ueng,uēŋ,wieŋ,uɛŋ,weɲ,u̯eŋ,ʷɛɯŋ
,16,蒸开,曾,蒸,三,开,h,拯证證职職,ing,ing,ï̄ŋ,iŋ,ɨiŋ,ɻiŋ,ɨŋ,ɯŋ
,16,蒸合,曾,蒸,三,合,h,,wing,yng,uï̂ŋ,wiŋ,uɨiŋ,ɻɥiŋ,u̯ɨŋ,ʷɯŋ
1,17,登开,曾,登,一,开,h,等嶝德,ong,ong,ë̄ŋ,ʌŋ,əŋ,ɘŋ,ɘŋ,ʌɯŋ
,17,登合,曾,登,一,合,h,,wong,uong,uë̄ŋ,wʌŋ,uəŋ,wɘŋ,u̯ɘŋ,ʷʌɯŋ
1,18,尤,流,尤,三,,,有宥,juw,iu,ï̄u,əw,ɨu,ɥ̈ɯᵝ,ɨu̯,u
,19,侯,流,侯,一,,,厚候,uw,u,ë̄u,ʌw,u,ᵊɯᵝ,ɘu̯,ou
,20,幽,流,幽,三,,,黝幼,jiw,y,īu,jiw,iu,ɥɨᵝ,iu̯,iu
1,21,侵A,深,侵,三A,,c,寑沁缉緝,jim,im,īm,jim,im,im,im,im
,21,侵B,深,侵,三B,,c,,im,im,ïīm,im,ɨim,ɻim,ɨ̯im,ʴim
1,22,覃,咸,覃,一,,,感勘合,om,om,ë̄m,ʌm,əm,ɐm,ɐm,ʌm
,23,谈,咸,谈,一,,,談敢阚闞盍,am,am,ām,âm,ɒm,ɑm,ɑm,ɑm
,24,盐A,咸,盐,三A,,c,鹽琰豔艳艶葉叶,jiem,iem,iēm,jem,iɛm,jɛm,i̯ɛm,iɛm
,24,盐B,咸,盐,三B,,c,,jem,iem,ïiēm,em,ɨɛm,ɻjɛm,ɨ̯i̯ɛm,ʴiɛm
,25,添,咸,添,四,,,忝㮇怗帖,em,em,ēm,iem,ɛm,em,em,ɛm
,26,咸,咸,咸,二,,,豏陷洽,eam,rem,ïēm ,ạ̈m,ɐm,ɻæm,ɨ̯æm,ʴɛm
,27,衔,咸,衔,二,,,銜槛檻鉴鑑鑒狎,aem,ram,ïām,äm,am,ɻam,ɨ̯am,ʴam
,28,严,咸,严,三,,,嚴俨儼酽釅业業[凡],jaem,iam,ië̄m,əm,ɨɐm,j̈əm,i̯əm,ɯʌm
,29,凡,咸,凡,三,,,梵范乏[严嚴],jom,yam,ië̄m,ɨm,uɨɐm,ẅɞm,i̯əm,uɔm
